연월,시도별,차종,용도,count
2016-01,서울,승용,관용,4070
2016-01,부산,승용,관용,1502
2016-01,대구,승용,관용,801
2016-01,인천,승용,관용,1350
2016-01,광주,승용,관용,682
2016-01,대전,승용,관용,547
2016-01,울산,승용,관용,518
2016-01,세종,승용,관용,236
2016-01,경기,승용,관용,5626
2016-01,강원,승용,관용,1492
2016-01,충북,승용,관용,1019
2016-01,충남,승용,관용,1429
2016-01,전북,승용,관용,1229
2016-01,전남,승용,관용,1670
2016-01,경북,승용,관용,2040
2016-01,경남,승용,관용,1963
2016-01,제주,승용,관용,653
2016-01,합계,승용,관용,26827
2016-01,서울,승용,자가용,2444940
2016-01,부산,승용,자가용,973058
2016-01,대구,승용,자가용,880526
2016-01,인천,승용,자가용,930355
2016-01,광주,승용,자가용,479617
2016-01,대전,승용,자가용,507531
2016-01,울산,승용,자가용,428818
2016-01,세종,승용,자가용,77699
2016-01,경기,승용,자가용,3873157
2016-01,강원,승용,자가용,504376
2016-01,충북,승용,자가용,534658
2016-01,충남,승용,자가용,701677
2016-01,전북,승용,자가용,606508
2016-01,전남,승용,자가용,573994
2016-01,경북,승용,자가용,934080
2016-01,경남,승용,자가용,1179144
2016-01,제주,승용,자가용,256221
2016-01,합계,승용,자가용,15886359
2016-01,서울,승용,영업용,118296
2016-01,부산,승용,영업용,32652
2016-01,대구,승용,영업용,23914
2016-01,인천,승용,영업용,190322
2016-01,광주,승용,영업용,17713
2016-01,대전,승용,영업용,13840
2016-01,울산,승용,영업용,8244
2016-01,세종,승용,영업용,569
2016-01,경기,승용,영업용,74775
2016-01,강원,승용,영업용,11910
2016-01,충북,승용,영업용,13202
2016-01,충남,승용,영업용,15095
2016-01,전북,승용,영업용,16201
2016-01,전남,승용,영업용,55353
2016-01,경북,승용,영업용,16036
2016-01,경남,승용,영업용,41458
2016-01,제주,승용,영업용,85593
2016-01,합계,승용,영업용,735173
2016-01,서울,승합,관용,3026
2016-01,부산,승합,관용,1065
2016-01,대구,승합,관용,718
2016-01,인천,승합,관용,849
2016-01,광주,승합,관용,489
2016-01,대전,승합,관용,463
2016-01,울산,승합,관용,371
2016-01,세종,승합,관용,122
2016-01,경기,승합,관용,3135
2016-01,강원,승합,관용,1214
2016-01,충북,승합,관용,821
2016-01,충남,승합,관용,936
2016-01,전북,승합,관용,1057
2016-01,전남,승합,관용,1327
2016-01,경북,승합,관용,1496
2016-01,경남,승합,관용,1627
2016-01,제주,승합,관용,358
2016-01,합계,승합,관용,19074
2016-01,서울,승합,자가용,121467
2016-01,부산,승합,자가용,44362
2016-01,대구,승합,자가용,32236
2016-01,인천,승합,자가용,45535
2016-01,광주,승합,자가용,20480
2016-01,대전,승합,자가용,21931
2016-01,울산,승합,자가용,14372
2016-01,세종,승합,자가용,3209
2016-01,경기,승합,자가용,199538
2016-01,강원,승합,자가용,27704
2016-01,충북,승합,자가용,28418
2016-01,충남,승합,자가용,38972
2016-01,전북,승합,자가용,30553
2016-01,전남,승합,자가용,33243
2016-01,경북,승합,자가용,46554
2016-01,경남,승합,자가용,51982
2016-01,제주,승합,자가용,14087
2016-01,합계,승합,자가용,774643
2016-01,서울,승합,영업용,17065
2016-01,부산,승합,영업용,6171
2016-01,대구,승합,영업용,4388
2016-01,인천,승합,영업용,11364
2016-01,광주,승합,영업용,2800
2016-01,대전,승합,영업용,2277
2016-01,울산,승합,영업용,2021
2016-01,세종,승합,영업용,318
2016-01,경기,승합,영업용,33320
2016-01,강원,승합,영업용,3274
2016-01,충북,승합,영업용,4012
2016-01,충남,승합,영업용,5639
2016-01,전북,승합,영업용,4489
2016-01,전남,승합,영업용,7392
2016-01,경북,승합,영업용,5718
2016-01,경남,승합,영업용,8055
2016-01,제주,승합,영업용,6969
2016-01,합계,승합,영업용,125272
2016-01,서울,화물,관용,3695
2016-01,부산,화물,관용,1530
2016-01,대구,화물,관용,1114
2016-01,인천,화물,관용,1068
2016-01,광주,화물,관용,676
2016-01,대전,화물,관용,614
2016-01,울산,화물,관용,539
2016-01,세종,화물,관용,172
2016-01,경기,화물,관용,4924
2016-01,강원,화물,관용,2022
2016-01,충북,화물,관용,1348
2016-01,충남,화물,관용,2046
2016-01,전북,화물,관용,1751
2016-01,전남,화물,관용,2039
2016-01,경북,화물,관용,2457
2016-01,경남,화물,관용,2270
2016-01,제주,화물,관용,760
2016-01,합계,화물,관용,29025
2016-01,서울,화물,자가용,287767
2016-01,부산,화물,자가용,157165
2016-01,대구,화물,자가용,143633
2016-01,인천,화물,자가용,150054
2016-01,광주,화물,자가용,77888
2016-01,대전,화물,자가용,74947
2016-01,울산,화물,자가용,61391
2016-01,세종,화물,자가용,11590
2016-01,경기,화물,자가용,636974
2016-01,강원,화물,자가용,135057
2016-01,충북,화물,자가용,134241
2016-01,충남,화물,자가용,188845
2016-01,전북,화물,자가용,163383
2016-01,전남,화물,자가용,204223
2016-01,경북,화물,자가용,276576
2016-01,경남,화물,자가용,256582
2016-01,제주,화물,자가용,69650
2016-01,합계,화물,자가용,3029966
2016-01,서울,화물,영업용,56123
2016-01,부산,화물,영업용,32602
2016-01,대구,화물,영업용,18771
2016-01,인천,화물,영업용,28002
2016-01,광주,화물,영업용,11112
2016-01,대전,화물,영업용,10398
2016-01,울산,화물,영업용,8736
2016-01,세종,화물,영업용,1256
2016-01,경기,화물,영업용,99453
2016-01,강원,화물,영업용,7994
2016-01,충북,화물,영업용,12423
2016-01,충남,화물,영업용,15632
2016-01,전북,화물,영업용,14494
2016-01,전남,화물,영업용,18577
2016-01,경북,화물,영업용,22419
2016-01,경남,화물,영업용,22367
